Domain,Base Domain,domain,status_code,usa_classes_detected,uswds_detected,usa_detected,flag_detected,flagincss_detected,sourcesansfont_detected,uswdsincss_detected,merriweatherfont_detected,publicsansfont_detected,uswdsversion,tables,total_score
ucia.gov,ucia.gov,ucia.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
abmc.gov,abmc.gov,abmc.gov,400,0,0,0,0,0,0,0,0,0,,0,0
afrh.gov,afrh.gov,afrh.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
asc.gov,asc.gov,asc.gov,404,0,0,0,0,0,0,0,0,0,,0,0
ic.gov,ic.gov,ic.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
istac.gov,istac.gov,istac.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
df.gov,df.gov,df.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
consumerfinancialbureau.gov,consumerfinancialbureau.gov,consumerfinancialbureau.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
goldwaterscholarship.gov,goldwaterscholarship.gov,goldwaterscholarship.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
opensource.gov,opensource.gov,opensource.gov,503,0,0,0,0,0,0,0,0,0,,0,0
voa.gov,voa.gov,voa.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
ttic.gov,ttic.gov,ttic.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
nctc.gov,nctc.gov,nctc.gov,200,0,0,0,0,0,0,0,0,0,,0,0
mimm.gov,mimm.gov,mimm.gov,200,0,0,0,0,0,0,0,0,0,,0,0
recalls.gov,recalls.gov,recalls.gov,200,0,0,0,0,0,0,0,0,0,,-40,0
saferproducts.gov,saferproducts.gov,saferproducts.gov,200,0,0,0,0,0,0,0,0,0,,0,0
cpsc.gov,cpsc.gov,cpsc.gov,200,0,0,0,0,0,0,0,0,0,,0,0
odci.gov,odci.gov,odci.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
cncsoig.gov,cncsoig.gov,cncsoig.gov,404,0,0,0,0,0,0,0,0,0,,0,0
cigie.gov,cigie.gov,cigie.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
arc.gov,arc.gov,arc.gov,200,0,0,0,0,0,0,0,0,0,,-100,0
consumerfinancialprotectionbureau.gov,consumerfinancialprotectionbureau.gov,consumerfinancialprotectionbureau.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
csosa.fed.us,csosa.fed.us,csosa.fed.us,-1,0,0,0,0,0,0,0,0,0,,0,0
saferproduct.gov,saferproduct.gov,saferproduct.gov,200,0,0,0,0,0,0,0,0,0,,0,0
pretrialservices.gov,pretrialservices.gov,pretrialservices.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
dnfsb.gov,dnfsb.gov,dnfsb.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
consumerfinancial.gov,consumerfinancial.gov,consumerfinancial.gov,200,0,0,0,0,0,0,0,0,0,,0,0
capnhq.gov,capnhq.gov,capnhq.gov,200,0,0,0,0,0,0,0,0,0,,-10,0
consumerfinance.gov,consumerfinance.gov,consumerfinance.gov,200,0,0,0,0,0,0,0,0,0,,0,0
atvsafety.gov,atvsafety.gov,atvsafety.gov,200,0,0,0,0,0,0,0,0,0,,0,0
bcfp.gov,bcfp.gov,bcfp.gov,200,0,0,0,0,0,0,0,0,0,,0,0
cfpa.gov,cfpa.gov,cfpa.gov,200,0,0,0,0,0,0,0,0,0,,0,0
consumerprotectionbureau.gov,consumerprotectionbureau.gov,consumerprotectionbureau.gov,200,0,0,0,0,0,0,0,0,0,,0,0
bldrdoc.gov,bldrdoc.gov,bldrdoc.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
consumerbureau.gov,consumerbureau.gov,consumerbureau.gov,200,0,0,0,0,0,0,0,0,0,,0,0
cfpb.gov,cfpb.gov,cfpb.gov,200,0,0,0,0,0,0,0,0,0,,0,0
consumerprotection.gov,consumerprotection.gov,consumerprotection.gov,200,0,0,0,0,0,0,0,0,0,,0,0
psa.gov,psa.gov,psa.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
ignet.gov,ignet.gov,ignet.gov,200,0,0,0,0,0,0,0,0,0,,0,0
digitalliteracy.gov,digitalliteracy.gov,digitalliteracy.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
seguridadconsumidor.gov,seguridadconsumidor.gov,seguridadconsumidor.gov,200,0,0,0,0,0,0,0,0,0,,0,0
nationalservice.gov,nationalservice.gov,nationalservice.gov,200,0,0,0,0,0,0,0,0,0,,0,0
drywallresponse.gov,drywallresponse.gov,drywallresponse.gov,200,0,0,0,0,0,0,0,0,0,,0,0
usagm.gov,usagm.gov,usagm.gov,200,10,0,0,20,0,0,0,0,0,,0,30
serve.gov,serve.gov,serve.gov,200,0,0,0,0,0,0,0,0,0,,0,0
americorps.gov,americorps.gov,americorps.gov,200,0,0,0,0,0,0,0,0,0,,0,0
seniorcorps.gov,seniorcorps.gov,seniorcorps.gov,200,0,0,0,0,0,0,0,0,0,,0,0
aviationweather.gov,aviationweather.gov,aviationweather.gov,200,0,0,0,0,0,0,0,0,0,,0,0
mlkday.gov,mlkday.gov,mlkday.gov,200,0,0,0,0,0,0,0,0,0,,0,0
volunteeringinamerica.gov,volunteeringinamerica.gov,volunteeringinamerica.gov,200,0,0,0,0,0,0,0,0,0,,0,0
buyusa.gov,buyusa.gov,buyusa.gov,200,0,0,0,0,0,0,0,0,0,,0,0
fishwatch.gov,fishwatch.gov,fishwatch.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
cns.gov,cns.gov,cns.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
cncs.gov,cncs.gov,cncs.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
cia.gov,cia.gov,cia.gov,200,0,0,0,0,0,0,0,0,0,,0,0
luca-appeals.gov,luca-appeals.gov,luca-appeals.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
bbg.gov,bbg.gov,bbg.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
joinamericorps.gov,joinamericorps.gov,joinamericorps.gov,200,0,0,0,0,0,0,0,0,0,,0,0
cap.gov,cap.gov,cap.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
acus.gov,acus.gov,acus.gov,200,0,0,0,0,0,0,0,0,0,,0,0
cep.gov,cep.gov,cep.gov,200,0,0,0,0,0,0,0,0,0,,0,0
denali.gov,denali.gov,denali.gov,200,0,0,0,0,0,0,0,0,0,,0,0
nwirp.gov,nwirp.gov,nwirp.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
ofcm.gov,ofcm.gov,ofcm.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
dra.gov,dra.gov,dra.gov,200,0,0,0,0,0,0,0,0,0,,0,0
mgi.gov,mgi.gov,mgi.gov,200,0,0,0,0,0,0,0,0,0,,-10,0
bea.gov,bea.gov,bea.gov,200,10,0,0,20,20,0,0,0,0,,-10,40
safetyvideos.gov,safetyvideos.gov,safetyvideos.gov,200,0,0,0,0,0,0,0,0,0,,0,0
commerce.gov,commerce.gov,commerce.gov,200,50,7,2,20,0,5,20,5,0,,0,109
marinecadastre.gov,marinecadastre.gov,marinecadastre.gov,200,0,0,0,0,0,0,0,0,0,,0,0
sdr.gov,sdr.gov,sdr.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
ntia.gov,ntia.gov,ntia.gov,200,0,0,0,0,0,0,0,0,0,,-10,0
oversight.gov,oversight.gov,oversight.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
ap.gov,ap.gov,ap.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
2020census.gov,2020census.gov,2020census.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
presidentialserviceawards.gov,presidentialserviceawards.gov,presidentialserviceawards.gov,200,40,0,0,0,0,0,0,0,0,,0,40
ibb.gov,ibb.gov,ibb.gov,200,0,0,0,20,20,0,0,5,0,,0,45
time.gov,time.gov,time.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
poolsafely.gov,poolsafely.gov,poolsafely.gov,200,0,0,0,0,0,0,0,0,0,,0,0
fea.gov,fea.gov,fea.gov,200,0,0,0,0,0,0,0,0,0,,0,0
pscr.gov,pscr.gov,pscr.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
csosa.gov,csosa.gov,csosa.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
manufacturing.gov,manufacturing.gov,manufacturing.gov,200,35,11,0,0,0,0,0,0,0,,0,46
mbda.gov,mbda.gov,mbda.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
my2020census.gov,my2020census.gov,my2020census.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
export.gov,export.gov,export.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
sworm.gov,sworm.gov,sworm.gov,500,0,0,0,0,0,0,0,0,0,,0,0
goes-r.gov,goes-r.gov,goes-r.gov,200,0,0,0,0,0,0,0,0,0,,0,0
dc3on.gov,dc3on.gov,dc3on.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
mentor.gov,mentor.gov,mentor.gov,200,0,0,0,0,0,0,0,0,0,,0,0
dod.gov,dod.gov,dod.gov,-1,0,0,0,0,0,0,0,0,0,,0,0
