"18f.gov","https://www.18f.gov","executive","General Services Administration","Yes","Yes","Yes","Yes","Yes","A+"
"9-11commission.gov","https://9-11commission.gov","executive","National Archives and Records Administration","No","Yes","Yes","Yes","","A+"
"911.gov","https://www.911.gov","executive","Department of Transportation","No","Yes","Yes","No","","A"
"911commission.gov","https://911commission.gov","executive","National Archives and Records Administration","No","Yes","Yes","Yes","","A+"
"aapi.gov","http://www.aapi.gov","executive","Department of Education","Yes","No","","","",""
"abandonedmines.gov","http://www.abandonedmines.gov","executive","Department of the Interior","No","Yes","No","No","","A"
"abilityone.gov","http://abilityone.gov","executive","Comm for People Who Are Blind/Severly Disabled","No","No","","","",""
"abmc.gov","https://abmc.gov","executive","American Battle Monuments Commission","No","Yes","Yes","No","","A"
"access-board.gov","https://www.access-board.gov","executive","U. S. Access Board","No","Yes","Yes","No","","A-"
"acf.gov","http://www.acf.gov","executive","Department of Health And Human Services","Yes","No","","","",""
"achp.gov","http://achp.gov","executive","Advisory Council on Historic Preservation","No","No","","","",""
"acl.gov","https://acl.gov","executive","Department of Health And Human Services","No","Yes","Yes","No","","B"
"acquisition.gov","https://www.acquisition.gov","executive","General Services Administration","No","Yes","Yes","Yes","","B"
"acus.gov","https://www.acus.gov","executive","Administrative Conference of the United States","No","Yes","Yes","Yes","Yes","A-"
"acwi.gov","https://acwi.gov","executive","Department of the Interior","No","Yes","Yes","No","","A"
"ada.gov","https://www.ada.gov","executive","Department of Justice","No","Yes","Yes","Yes","Yes","A+"
"adf.gov","http://adf.gov","executive","African Development Foundation","No","No","","","",""
"adlnet.gov","https://www.adlnet.gov","executive","Department of Defense","No","Yes","Yes","No","","B"
"admongo.gov","https://www.admongo.gov","executive","Federal Trade Commission","No","Yes","Yes","Yes","","A+"
"adr.gov","https://www.adr.gov","executive","Department of Justice","No","Yes","Yes","Yes","Yes","A+"
"afadvantage.gov","https://afadvantage.gov","executive","General Services Administration","No","Yes","Yes","No","","B"
"aff.gov","http://www.aff.gov","executive","Department of Agriculture","No","Yes","No","No","","A"
"afrh.gov","https://www.afrh.gov","executive","Armed Forces Retirement Home","No","Yes","Yes","No","","C"
"africanamericanhistorymonth.gov","http://africanamericanhistorymonth.gov","legislative","Library of Congress","No","No","","","",""
"afterschool.gov","http://www.afterschool.gov","executive","Department of Health And Human Services","Yes","No","","","",""
"aging.gov","http://www.aging.gov","executive","Department of Health And Human Services","Yes","Yes","No","No","","A"
"agingstats.gov","https://agingstats.gov","executive","Department of Health And Human Services","No","Yes","Yes","Yes","","B"
"ahcpr.gov","http://www.ahcpr.gov","executive","Department of Health And Human Services","Yes","Yes","No","No","","B"
"ahrq.gov","http://www.ahrq.gov","executive","Department of Health And Human Services","No","No","","","",""
"aidrefugees.gov","http://www.aidrefugees.gov","executive","Executive Office of the President","Yes","Yes","Yes","Yes","","A+"
"aids.gov","https://www.aids.gov","executive","Department of Health And Human Services","No","Yes","Yes","Yes","Yes","A+"
"airnow.gov","https://airnow.gov","executive","Environmental Protection Agency","No","Yes","Yes","Yes","Yes","A-"
"alaskacenters.gov","https://alaskacenters.gov","executive","Department of the Interior","No","Yes","Yes","Yes","","A-"
"alertaenlinea.gov","https://www.alertaenlinea.gov","executive","Federal Trade Commission","Yes","Yes","Yes","No","Ready","A"
"altusandc.gov","http://www.altusandc.gov","executive","Department of Defense","No","No","","","",""
"alzheimers.gov","http://www.alzheimers.gov","executive","Department of Health And Human Services","Yes","No","","","",""
"ama.gov","https://www.ama.gov","executive","Department of the Treasury","No","Yes","Yes","No","","A"
"amberalert.gov","http://www.amberalert.gov","executive","Department of Justice","No","No","","","",""
"america.gov","https://www.america.gov","executive","Department of State","No","Yes","Yes","No","","A"
"americanmemory.gov","http://www.americanmemory.gov","legislative","Library of Congress","Yes","No","","","",""
"americasheroesatwork.gov","http://www.americasheroesatwork.gov","executive","Department of Labor","Yes","No","","","",""
"americaslibrary.gov","http://www.americaslibrary.gov","legislative","Library of Congress","No","No","","","",""
"americasstory.gov","http://www.americasstory.gov","legislative","Library of Congress","Yes","No","","","",""
"americastory.gov","http://www.americastory.gov","legislative","Library of Congress","Yes","No","","","",""
"americathebeautifulquarters.gov","https://www.americathebeautifulquarters.gov","executive","Department of the Treasury","No","Yes","Yes","No","","A-"
"americore.gov","http://www.americore.gov","executive","Corporation for National & Community Service","Yes","No","","","",""
"americorp.gov","http://www.americorp.gov","executive","Corporation for National & Community Service","Yes","No","","","",""
"americorps.gov","http://www.americorps.gov","executive","Corporation for National & Community Service","Yes","Yes","Yes","Yes","","A-"
"americorpsconnect.gov","http://www.americorpsconnect.gov","executive","Corporation for National & Community Service","Yes","No","","","",""
"americorpsweek.gov","http://www.americorpsweek.gov","executive","Corporation for National & Community Service","Yes","No","","","",""
"ameslab.gov","https://www.ameslab.gov","executive","Department of Energy","No","Yes","Yes","No","","A"
"amtrakoig.gov","http://amtrakoig.gov","executive","AMTRAK","No","Yes","No","No","","C"
"anchorit.gov","http://www.anchorit.gov","executive","Consumer Product Safety Commission","No","No","","","",""
"anl.gov","http://www.anl.gov","executive","Department of Energy","No","Yes","No","No","","B"
"annualcreditreport.gov","http://www.annualcreditreport.gov","executive","Federal Trade Commission","Yes","No","","","",""
"anstaskforce.gov","http://www.anstaskforce.gov","executive","Department of the Interior","No","No","","","",""
"aoa.gov","http://www.aoa.gov","executive","Department of Health And Human Services","Yes","No","","","",""
"aoc.gov","https://www.aoc.gov","legislative","Architect of the Capitol","No","Yes","Yes","No","","B"
"ap.gov","http://www.ap.gov","executive","Department of Commerce","Yes","No","","","",""
"app.gov","http://www.app.gov","executive","General Services Administration","Yes","No","","","",""
"applicationmanager.gov","https://www.applicationmanager.gov","executive","Office of Personnel Management","Yes","Yes","Yes","Yes","","A+"
"apps.gov","https://apps.gov","executive","General Services Administration","No","Yes","Yes","Yes","","A+"
"arc.gov","https://arc.gov","executive","Appalachian Regional Commission","No","Yes","Yes","No","","C"
"archives.gov","https://www.archives.gov","executive","National Archives and Records Administration","No","Yes","Yes","Yes","","A+"
"arctic.gov","https://arctic.gov","executive","National Science Foundation","No","Yes","Yes","No","Yes","B"
"arm.gov","http://www.arm.gov","executive","Department of Energy","No","Yes","No","No","","A"
"ars-grin.gov","http://www.ars-grin.gov","executive","Department of Agriculture","No","No","","","",""
"arts.gov","https://www.arts.gov","executive","National Endowment for the Arts","No","Yes","Yes","No","","A"
"asap.gov","https://www.asap.gov","executive","Department of the Treasury","No","Yes","Yes","Yes","","B"
"asc.gov","https://www.asc.gov","executive","Appraisal Subcommittee","No","Yes","Yes","No","","A"
"asianpacificheritage.gov","http://asianpacificheritage.gov","legislative","Library of Congress","No","No","","","",""
"askkaren.gov","https://www.askkaren.gov","executive","Department of Agriculture","Yes","Yes","Yes","No","","A-"
"astrongmiddleclass.gov","http://www.astrongmiddleclass.gov","executive","Executive Office of the President","Yes","Yes","No","No","","A"
"atf.gov","https://www.atf.gov","executive","Department of Justice","No","Yes","Yes","No","","A+"
"atfonline.gov","http://atfonline.gov","executive","Department of Justice","No","Yes","No","No","","F"
"atvsafety.gov","http://www.atvsafety.gov","executive","Consumer Product Safety Commission","Yes","No","","","",""
"aviationweather.gov","http://aviationweather.gov","executive","Department of Commerce","No","Yes","No","No","","B"
"ayudaconmibanco.gov","http://ayudaconmibanco.gov","executive","Department of the Treasury","No","Yes","No","Yes","","A-"
"bankanswers.gov","http://bankanswers.gov","executive","Department of the Treasury","No","Yes","No","Yes","","A-"
"bankcustomer.gov","http://bankcustomer.gov","executive","Department of the Treasury","No","Yes","No","Yes","","A-"
"bankcustomerassistance.gov","http://bankcustomerassistance.gov","executive","Department of the Treasury","No","Yes","No","Yes","","A-"
"bankhelp.gov","http://bankhelp.gov","executive","Department of the Treasury","No","Yes","No","Yes","","A-"
"banknet.gov","https://banknet.gov","executive","Department of the Treasury","No","Yes","Yes","Yes","","A-"
"bankruptcy.gov","http://www.bankruptcy.gov","judicial","U.S Courts","Yes","No","","","",""
"bats.gov","https://www.bats.gov","executive","Department of Justice","No","Yes","Yes","No","","A-"
"bbg.gov","https://www.bbg.gov","executive","International Broadcasting Bureau","No","Yes","Yes","No","","B"
"bcfp.gov","http://www.bcfp.gov","executive","Consumer Financial Protection Bureau","Yes","No","","","",""
"bea.gov","http://bea.gov","executive","Department of Commerce","No","Yes","No","No","","A"
"befoodsafe.gov","https://www.befoodsafe.gov","executive","Department of Agriculture","Yes","Yes","Yes","No","","A-"
"benefits.gov","https://www.benefits.gov","executive","Department of Labor","No","Yes","Yes","No","","A"
"bep.gov","http://bep.gov","executive","Department of the Treasury","No","No","","","",""
"betobaccofree.gov","https://www.betobaccofree.gov","executive","Department of Health And Human Services","Yes","Yes","Yes","Yes","","A+"
"bfelob.gov","http://www.bfelob.gov","executive","Department of Education","Yes","Yes","No","Yes","Yes",""
"bfem.gov","http://bfem.gov","executive","Department of the Treasury","No","Yes","No","No","","A"
"bia.gov","https://www.bia.gov","executive","Department of the Interior","No","Yes","Yes","No","","C"
"bioeco.gov","https://www.bioeco.gov","executive","Department of the Interior","No","Yes","Yes","Yes","","A+"
"bioethics.gov","http://bioethics.gov","executive","Department of Health And Human Services","No","No","","","",""
"biomassboard.gov","http://biomassboard.gov","executive","Department of Energy","No","Yes","No","No","","C"
"biometriccoe.gov","http://www.biometriccoe.gov","executive","Department of Justice","Yes","No","","","",""
"biometrics.gov","http://biometrics.gov","executive","Department of Homeland Security","No","No","","","",""
"biopreferred.gov","https://www.biopreferred.gov","executive","Department of Agriculture","No","Yes","Yes","No","","A"
"bja.gov","https://www.bja.gov","executive","Department of Justice","No","Yes","Yes","Yes","","A-"
"bldrdoc.gov","http://www.bldrdoc.gov","executive","Department of Commerce","Yes","No","","","",""
"blm.gov","https://www.blm.gov","executive","Department of the Interior","No","Yes","Yes","Yes","","C"
"bls.gov","http://www.bls.gov","executive","Department of Labor","No","No","","","",""
"bnl.gov","https://www.bnl.gov","executive","Department of Energy","No","Yes","Yes","No","","C"
"boem.gov","https://www.boem.gov","executive","Department of the Interior","No","Yes","Yes","Yes","Ready","A"
"boemre.gov","http://www.boemre.gov","executive","Department of the Interior","Yes","No","","","",""
"bondpro.gov","http://bondpro.gov","executive","Department of the Treasury","No","Yes","No","No","","A"
"bop.gov","https://www.bop.gov","executive","Department of Justice","No","Yes","Yes","Yes","","A+"
"bosque.gov","http://bosque.gov","executive","Department of Agriculture","No","No","","","",""
"bpa.gov","https://www.bpa.gov","executive","Department of Energy","No","Yes","Yes","Yes","",""
"brac.gov","http://brac.gov","executive","Department of Defense","No","No","","","",""
"brainhealth.gov","http://www.brainhealth.gov","executive","Department of Health And Human Services","Yes","No","","","",""
"brc.gov","http://www.brc.gov","executive","Department of Energy","No","No","","","",""
"broadband.gov","http://www.broadband.gov","executive","Federal Communications Commission","No","No","","","",""
"broadbandmap.gov","http://broadbandmap.gov","executive","Federal Communications Commission","No","Yes","No","No","","B"
"bsee.gov","https://www.bsee.gov","executive","Department of the Interior","No","Yes","Yes","Yes","","A+"
"bts.gov","https://www.bts.gov","executive","Department of Transportation","No","Yes","Yes","No","","A"
"budget.gov","http://www.budget.gov","executive","Executive Office of the President","Yes","Yes","No","No","","A"
"buildingamerica.gov","http://www.buildingamerica.gov","executive","Department of Energy","Yes","No","","","",""
"business.gov","http://www.business.gov","executive","Small Business Administration","Yes","No","","","",""
"businessusa.gov","http://www.businessusa.gov","executive","General Services Administration","Yes","Yes","No","No","","A"
"buyaccessible.gov","https://buyaccessible.gov","executive","General Services Administration","No","Yes","Yes","Yes","Ready","A-"
"buyusa.gov","http://buyusa.gov","executive","Department of Commerce","No","No","","","",""
"cancer.gov","https://www.cancer.gov","executive","Department of Health And Human Services","No","Yes","Yes","Yes","","A+"
"cancernet.gov","http://www.cancernet.gov","executive","Department of Health And Human Services","Yes","Yes","Yes","Yes","",""
"cao.gov","http://www.cao.gov","executive","General Services Administration","Yes","Yes","No","Yes","Yes",""
"cap.gov","http://www.cap.gov","executive","Civil Air Patrol","Yes","No","","","",""
"capitol.gov","https://capitol.gov","legislative","Architect of the Capitol","No","Yes","Yes","No","","A-"
