"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"18f.gov","18f.gov","https://18f.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"2020census.gov","2020census.gov","https://2020census.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"9-11commission.gov","9-11commission.gov","https://9-11commission.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"911.gov","911.gov","https://www.911.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"911commission.gov","911commission.gov","https://911commission.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"abandonedmines.gov","abandonedmines.gov","https://abandonedmines.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"abilityone.gov","abilityone.gov","https://abilityone.gov","United States AbilityOne","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"abmc.gov","abmc.gov","http://abmc.gov","American Battle Monuments Commission","dotgov","No","No","Yes","No","Yes","No","No","No","Yes"
"abmcscholar.gov","abmcscholar.gov","http://abmcscholar.gov","American Battle Monuments Commission","dotgov","No","No","No","","","","","","No"
"access-board.gov","access-board.gov","https://www.access-board.gov","United States Access Board","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"accessibility.gov","accessibility.gov","https://accessibility.gov","General Services Administration","dotgov","No","No","No","","","","","","Yes"
"achp.gov","achp.gov","http://achp.gov","Advisory Council on Historic Preservation","dotgov","No","No","No","","","","","","No"
"acl.gov","acl.gov","https://www.acl.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"acquisition.gov","acquisition.gov","https://acquisition.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"acus.gov","acus.gov","https://acus.gov","Administrative Conference of the United States","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"acwi.gov","acwi.gov","https://acwi.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"ada.gov","ada.gov","https://www.ada.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"adf.gov","adf.gov","http://adf.gov","United States African Development Foundation","dotgov","No","No","No","","","","","","No"
"adlnet.gov","adlnet.gov","http://adlnet.gov","Department of Defense","dotgov","No","No","No","No","Yes","No","No","No","No"
"admongo.gov","admongo.gov","https://admongo.gov","Federal Trade Commission","dotgov","No","No","No","","","","","","Yes"
"adr.gov","adr.gov","https://www.adr.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"afadvantage.gov","afadvantage.gov","https://afadvantage.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"aff.gov","aff.gov","https://www.aff.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"afrh.gov","afrh.gov","https://www.afrh.gov","Armed Forces Retirement Home","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"aftac.gov","aftac.gov","http://aftac.gov","Department of Defense","dotgov","","","","","","","","","No"
"afterschool.gov","afterschool.gov","http://www.afterschool.gov","Department of Health and Human Services","dotgov","No","No","No","","","","","","No"
"ag.gov","ag.gov","http://ag.gov","U.S. Department of Agriculture","dotgov","","","","","","","","","No"
"aging.gov","aging.gov","https://aging.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"agingstats.gov","agingstats.gov","https://agingstats.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"ahcpr.gov","ahcpr.gov","https://ahcpr.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ahrq.gov","ahrq.gov","https://www.ahrq.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"aids.gov","aids.gov","http://aids.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"airnow.gov","airnow.gov","https://airnow.gov","Environmental Protection Agency","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"alaskacenters.gov","alaskacenters.gov","https://www.alaskacenters.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"alertaenlinea.gov","alertaenlinea.gov","https://alertaenlinea.gov","Federal Trade Commission","dotgov","No","Yes","No","Yes","No","No","No","No","Yes"
"altusandc.gov","altusandc.gov","http://www.altusandc.gov","Department of Defense","dotgov","No","No","No","","","","","","No"
"alzheimers.gov","alzheimers.gov","https://www.alzheimers.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ama.gov","ama.gov","https://www.ama.gov","Department of the Treasury","dotgov","No","Yes","Yes","No","Yes","No","No","No","No"
"amberalert.gov","amberalert.gov","https://amberalert.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"america.gov","america.gov","https://america.gov","Department of State","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"americathebeautifulquarters.gov","americathebeautifulquarters.gov","https://americathebeautifulquarters.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"americorp.gov","americorp.gov","http://americorp.gov","Corporation for National & Community Service","dotgov","No","No","No","","","","","","No"
"americorps.gov","americorps.gov","http://americorps.gov","Corporation for National & Community Service","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ameslab.gov","ameslab.gov","https://www.ameslab.gov","Department of Energy","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"amtrakoig.gov","amtrakoig.gov","https://amtrakoig.gov","AMTRAK","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"anchorit.gov","anchorit.gov","https://www.anchorit.gov","Consumer Product Safety Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"anl.gov","anl.gov","http://www.anl.gov","Department of Energy","dotgov","No","No","No","Yes","No","No","No","No","No"
"annualcreditreport.gov","annualcreditreport.gov","http://annualcreditreport.gov","Federal Trade Commission","dotgov","No","Yes","Yes","No","Yes","No","No","No","No"
"anstaskforce.gov","anstaskforce.gov","https://anstaskforce.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"aoa.gov","aoa.gov","http://aoa.gov","Department of Health and Human Services","dotgov","No","No","No","","","","","","No"
"ap.gov","ap.gov","http://ap.gov","Department of Commerce","dotgov","No","No","No","","","","","","No"
"app.gov","app.gov","https://app.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"applicationmanager.gov","applicationmanager.gov","https://applicationmanager.gov","Office of Personnel Management","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"apps.gov","apps.gov","https://apps.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"arc.gov","arc.gov","https://www.arc.gov","Appalachian Regional Commission","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"archives.gov","archives.gov","https://www.archives.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"arctic.gov","arctic.gov","https://arctic.gov","National Science Foundation","dotgov","No","Yes","Yes","No","Yes","No","No","No","Yes"
"arm.gov","arm.gov","https://www.arm.gov","Department of Energy","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"ars-grin.gov","ars-grin.gov","https://www.ars-grin.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"arsusda.gov","arsusda.gov","http://arsusda.gov","U.S. Department of Agriculture","dotgov","","","","","","","","","No"
"arts.gov","arts.gov","https://www.arts.gov","National Endowment for the Arts","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"asap.gov","asap.gov","https://asap.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"asc.gov","asc.gov","https://www.asc.gov","Appraisal Subcommittee","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"askkaren.gov","askkaren.gov","https://askkaren.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"atcreform.gov","atcreform.gov","https://www.atcreform.gov","Department of Transportation","dotgov","No","Yes","No","Yes","No","No","No","No","Yes"
"atf.gov","atf.gov","https://www.atf.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"atfonline.gov","atfonline.gov","https://www.atfonline.gov","Department of Justice","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"atvsafety.gov","atvsafety.gov","https://atvsafety.gov","Consumer Product Safety Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"aviationweather.gov","aviationweather.gov","https://aviationweather.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ayudaconmibanco.gov","ayudaconmibanco.gov","https://ayudaconmibanco.gov","Department of the Treasury","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bankanswers.gov","bankanswers.gov","https://bankanswers.gov","Department of the Treasury","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bankcustomer.gov","bankcustomer.gov","https://bankcustomer.gov","Department of the Treasury","dotgov","No","Yes","No","Yes","No","No","No","No","No"
