"Domain","Base Domain","URL","Agency","Sources","Participates in DAP?"
"2020census.gov","2020census.gov","https://2020census.gov","Department of Commerce","dotgov","Yes"
"9-11commission.gov","9-11commission.gov","https://9-11commission.gov","National Archives and Records Administration","dotgov","No"
"911.gov","911.gov","https://www.911.gov","Department of Transportation","dotgov","Yes"
"911commission.gov","911commission.gov","https://911commission.gov","National Archives and Records Administration","dotgov","No"
"abandonedmines.gov","abandonedmines.gov","https://abandonedmines.gov","Department of the Interior","dotgov","No"
"abilityone.gov","abilityone.gov","https://abilityone.gov","United States AbilityOne","dotgov","No"
"abmc.gov","abmc.gov","http://abmc.gov","American Battle Monuments Commission","dotgov","Yes"
"abmcscholar.gov","abmcscholar.gov","http://abmcscholar.gov","American Battle Monuments Commission","dotgov","No"
"access-board.gov","access-board.gov","https://www.access-board.gov","United States Access Board","dotgov","Yes"
"accessibility.gov","accessibility.gov","https://accessibility.gov","General Services Administration","dotgov","Yes"
"achp.gov","achp.gov","http://achp.gov","Advisory Council on Historic Preservation","dotgov","No"
"acl.gov","acl.gov","https://www.acl.gov","Department of Health and Human Services","dotgov","No"
"acquisition.gov","acquisition.gov","https://acquisition.gov","General Services Administration","dotgov","Yes"
"acus.gov","acus.gov","https://acus.gov","Administrative Conference of the United States","dotgov","No"
"acwi.gov","acwi.gov","https://acwi.gov","Department of the Interior","dotgov","Yes"
"ada.gov","ada.gov","https://www.ada.gov","Department of Justice","dotgov","Yes"
"adf.gov","adf.gov","http://adf.gov","United States African Development Foundation","dotgov","No"
"adlnet.gov","adlnet.gov","http://adlnet.gov","Department of Defense","dotgov","Yes"
"adr.gov","adr.gov","https://www.adr.gov","Department of Justice","dotgov","Yes"
"afadvantage.gov","afadvantage.gov","https://afadvantage.gov","General Services Administration","dotgov","Yes"
"aff.gov","aff.gov","https://www.aff.gov","U.S. Department of Agriculture","dotgov","Yes"
"afrh.gov","afrh.gov","https://www.afrh.gov","Armed Forces Retirement Home","dotgov","No"
"agingstats.gov","agingstats.gov","https://agingstats.gov","Department of Health and Human Services","dotgov","No"
"ahrq.gov","ahrq.gov","https://www.ahrq.gov","Department of Health and Human Services","dotgov","Yes"
"airnow.gov","airnow.gov","https://airnow.gov","Environmental Protection Agency","dotgov","Yes"
"alaskacenters.gov","alaskacenters.gov","https://www.alaskacenters.gov","Department of the Interior","dotgov","Yes"
"alzheimers.gov","alzheimers.gov","https://www.alzheimers.gov","Department of Health and Human Services","dotgov","Yes"
"amberalert.gov","amberalert.gov","https://amberalert.gov","Department of Justice","dotgov","Yes"
"americathebeautifulquarters.gov","americathebeautifulquarters.gov","https://americathebeautifulquarters.gov","Department of the Treasury","dotgov","Yes"
"ameslab.gov","ameslab.gov","https://www.ameslab.gov","Department of Energy","dotgov","No"
"amtrakoig.gov","amtrakoig.gov","https://amtrakoig.gov","AMTRAK","dotgov","No"
"anchorit.gov","anchorit.gov","https://www.anchorit.gov","Consumer Product Safety Commission","dotgov","No"
"anl.gov","anl.gov","http://www.anl.gov","Department of Energy","dotgov","No"
"anstaskforce.gov","anstaskforce.gov","https://anstaskforce.gov","Department of the Interior","dotgov","No"
"apps.gov","apps.gov","https://apps.gov","General Services Administration","dotgov","Yes"
"arc.gov","arc.gov","https://www.arc.gov","Appalachian Regional Commission","dotgov","No"
"archives.gov","archives.gov","https://www.archives.gov","National Archives and Records Administration","dotgov","Yes"
"arctic.gov","arctic.gov","https://arctic.gov","National Science Foundation","dotgov","Yes"
"arm.gov","arm.gov","https://www.arm.gov","Department of Energy","dotgov","No"
"ars-grin.gov","ars-grin.gov","https://www.ars-grin.gov","U.S. Department of Agriculture","dotgov","Yes"
"arts.gov","arts.gov","https://www.arts.gov","National Endowment for the Arts","dotgov","Yes"
"asap.gov","asap.gov","https://asap.gov","Department of the Treasury","dotgov","No"
"asc.gov","asc.gov","https://www.asc.gov","Appraisal Subcommittee","dotgov","No"
"atf.gov","atf.gov","https://www.atf.gov","Department of Justice","dotgov","Yes"
"atfonline.gov","atfonline.gov","https://www.atfonline.gov","Department of Justice","dotgov","No"
"aviationweather.gov","aviationweather.gov","https://aviationweather.gov","Department of Commerce","dotgov","Yes"
"ayudaconmibanco.gov","ayudaconmibanco.gov","https://ayudaconmibanco.gov","Department of the Treasury","dotgov","Yes"
"bankanswers.gov","bankanswers.gov","https://bankanswers.gov","Department of the Treasury","dotgov","Yes"
"bankcustomer.gov","bankcustomer.gov","https://bankcustomer.gov","Department of the Treasury","dotgov","Yes"
"bankcustomerassistance.gov","bankcustomerassistance.gov","https://bankcustomerassistance.gov","Department of the Treasury","dotgov","Yes"
"bankhelp.gov","bankhelp.gov","https://bankhelp.gov","Department of the Treasury","dotgov","Yes"
"banknet.gov","banknet.gov","https://banknet.gov","Department of the Treasury","dotgov","Yes"
"bats.gov","bats.gov","https://www.bats.gov","Department of Justice","dotgov","No"
"bbg.gov","bbg.gov","https://www.bbg.gov","Broadcasting Board of Governors","dotgov","Yes"
"bea.gov","bea.gov","https://bea.gov","Department of Commerce","dotgov","Yes"
"benefits.gov","benefits.gov","https://benefits.gov","Department of Labor","dotgov","Yes"
"bep.gov","bep.gov","https://bep.gov","Department of the Treasury","dotgov","Yes"
"bia.gov","bia.gov","https://www.bia.gov","Department of the Interior","dotgov","Yes"
"biomassboard.gov","biomassboard.gov","http://biomassboard.gov","Department of Energy","dotgov","Yes"
"biopreferred.gov","biopreferred.gov","https://www.biopreferred.gov","U.S. Department of Agriculture","dotgov","Yes"
"bja.gov","bja.gov","https://www.bja.gov","Department of Justice","dotgov","Yes"
"bjs.gov","bjs.gov","https://bjs.gov","Department of Justice","dotgov","Yes"
"blm.gov","blm.gov","https://www.blm.gov","Department of the Interior","dotgov","No"
"bls.gov","bls.gov","https://www.bls.gov","Department of Labor","dotgov","Yes"
"bnl.gov","bnl.gov","https://www.bnl.gov","Department of Energy","dotgov","No"
"boem.gov","boem.gov","https://www.boem.gov","Department of the Interior","dotgov","Yes"
"bondpro.gov","bondpro.gov","https://bondpro.gov","Department of the Treasury","dotgov","Yes"
"bop.gov","bop.gov","https://www.bop.gov","Department of Justice","dotgov","Yes"
"bosque.gov","bosque.gov","https://bosque.gov","U.S. Department of Agriculture","dotgov","Yes"
"bpa.gov","bpa.gov","https://www.bpa.gov","Department of Energy","dotgov","No"
"brac.gov","brac.gov","http://brac.gov","Department of Defense","dotgov","Yes"
"broadbandmap.gov","broadbandmap.gov","https://www.broadbandmap.gov","Federal Communications Commission","dotgov","No"
"bsee.gov","bsee.gov","https://www.bsee.gov","Department of the Interior","dotgov","Yes"
"bts.gov","bts.gov","https://www.bts.gov","Department of Transportation","dotgov","Yes"
"businessdefense.gov","businessdefense.gov","http://www.businessdefense.gov","Department of Defense","dotgov","Yes"
"buyaccessible.gov","buyaccessible.gov","https://buyaccessible.gov","General Services Administration","dotgov","Yes"
"buyusa.gov","buyusa.gov","https://buyusa.gov","Department of Commerce","dotgov","Yes"
"campusdrugprevention.gov","campusdrugprevention.gov","https://www.campusdrugprevention.gov","Department of Justice","dotgov","Yes"
"cancer.gov","cancer.gov","https://www.cancer.gov","Department of Health and Human Services","dotgov","Yes"
"cao.gov","cao.gov","https://cao.gov","General Services Administration","dotgov","Yes"
"capnhq.gov","capnhq.gov","https://www.capnhq.gov","Civil Air Patrol","dotgov","No"
"casl.gov","casl.gov","https://www.casl.gov","Department of Energy","dotgov","No"
"cbca.gov","cbca.gov","http://cbca.gov","General Services Administration","dotgov","No"
"cbo.gov","cbo.gov","https://cbo.gov","The Legislative Branch","dotgov","No"
"cbonews.gov","cbonews.gov","http://www.cbonews.gov","The Legislative Branch","dotgov","No"
"cbp.gov","cbp.gov","https://www.cbp.gov","Department of Homeland Security","dotgov","Yes"
"ccac.gov","ccac.gov","https://www.ccac.gov","Department of the Treasury","dotgov","Yes"
"cdc.gov","cdc.gov","https://www.cdc.gov","Department of Health and Human Services","dotgov","Yes"
"cdfifund.gov","cdfifund.gov","https://www.cdfifund.gov","Department of the Treasury","dotgov","No"
"cecc.gov","cecc.gov","https://www.cecc.gov","The Legislative Branch","dotgov","No"
"cendi.gov","cendi.gov","https://cendi.gov","Department of Energy","dotgov","No"
"census.gov","census.gov","https://census.gov","Department of Commerce","dotgov","Yes"
"cep.gov","cep.gov","https://cep.gov","Department of Commerce","dotgov","Yes"
"cfa.gov","cfa.gov","https://www.cfa.gov","U.S. Commission of Fine Arts","dotgov","Yes"
"cfda.gov","cfda.gov","https://cfda.gov","General Services Administration","dotgov","Yes"
"cfo.gov","cfo.gov","https://cfo.gov","General Services Administration","dotgov","Yes"
"cftc.gov","cftc.gov","https://cftc.gov","Commodity Futures Trading Commission","dotgov","Yes"
"challenge.gov","challenge.gov","https://www.challenge.gov","General Services Administration","dotgov","Yes"
"chcoc.gov","chcoc.gov","https://chcoc.gov","Office of Personnel Management","dotgov","Yes"
"childcare.gov","childcare.gov","https://childcare.gov","Department of Health and Human Services","dotgov","No"
"childreninadversity.gov","childreninadversity.gov","https://www.childreninadversity.gov","U.S. Agency for International Development","dotgov","Yes"
"childstats.gov","childstats.gov","https://www.childstats.gov","Department of Education","dotgov","Yes"
"childwelfare.gov","childwelfare.gov","https://childwelfare.gov","Department of Health and Human Services","dotgov","Yes"
"chinacommission.gov","chinacommission.gov","https://chinacommission.gov","The Legislative Branch","dotgov","No"
"choosemyplate.gov","choosemyplate.gov","https://www.choosemyplate.gov","U.S. Department of Agriculture","dotgov","Yes"
"cia.gov","cia.gov","https://www.cia.gov","Central Intelligence Agency","dotgov","No"
"cio.gov","cio.gov","https://www.cio.gov","General Services Administration","dotgov","Yes"
"citizenscience.gov","citizenscience.gov","https://www.citizenscience.gov","General Services Administration","dotgov","Yes"
"climate.gov","climate.gov","https://www.climate.gov","Department of Commerce","dotgov","Yes"
"clinicaltrials.gov","clinicaltrials.gov","https://clinicaltrials.gov","Department of Health and Human Services","dotgov","No"
"clintonlibrary.gov","clintonlibrary.gov","https://www.clintonlibrary.gov","National Archives and Records Administration","dotgov","Yes"
"cloud.gov","cloud.gov","https://cloud.gov","General Services Administration","dotgov","Yes"
"cms.gov","cms.gov","https://www.cms.gov","Department of Health and Human Services","dotgov","Yes"
"cmts.gov","cmts.gov","https://www.cmts.gov","Department of Defense","dotgov","Yes"
"cncsoig.gov","cncsoig.gov","https://www.cncsoig.gov","Corporation for National & Community Service","dotgov","No"
"cnss.gov","cnss.gov","https://www.cnss.gov","Department of Defense","dotgov","No"
"code.gov","code.gov","https://code.gov","Executive Office of the President","dotgov","No"
"collegedrinkingprevention.gov","collegedrinkingprevention.gov","https://www.collegedrinkingprevention.gov","Department of Health and Human Services","dotgov","No"
"commerce.gov","commerce.gov","https://www.commerce.gov","Department of Commerce","dotgov","Yes"
"complaintreferralexpress.gov","complaintreferralexpress.gov","https://www.complaintreferralexpress.gov","Department of the Treasury","dotgov","No"
"comptrollerofthecurrency.gov","comptrollerofthecurrency.gov","https://comptrollerofthecurrency.gov","Department of the Treasury","dotgov","Yes"
"computersforlearning.gov","computersforlearning.gov","https://computersforlearning.gov","General Services Administration","dotgov","Yes"
"connect.gov","connect.gov","https://connect.gov","General Services Administration","dotgov","Yes"
"consumer.gov","consumer.gov","https://www.consumer.gov","Federal Trade Commission","dotgov","Yes"
"consumerfinance.gov","consumerfinance.gov","https://www.consumerfinance.gov","Consumer Financial Protection Bureau","dotgov","Yes"
"consumersentinel.gov","consumersentinel.gov","https://consumersentinel.gov","Federal Trade Commission","dotgov","No"
"consumidor.gov","consumidor.gov","https://consumidor.gov","Federal Trade Commission","dotgov","Yes"
"contractdirectory.gov","contractdirectory.gov","https://contractdirectory.gov","General Services Administration","dotgov","Yes"
"coralreef.gov","coralreef.gov","https://coralreef.gov","Department of the Interior","dotgov","Yes"
"cpars.gov","cpars.gov","https://www.cpars.gov","General Services Administration","dotgov","Yes"
"cpsc.gov","cpsc.gov","https://cpsc.gov","Consumer Product Safety Commission","dotgov","Yes"
"crimesolutions.gov","crimesolutions.gov","https://crimesolutions.gov","Department of Justice","dotgov","Yes"
"crimevictims.gov","crimevictims.gov","https://crimevictims.gov","Department of Justice","dotgov","Yes"
"crisisnextdoor.gov","crisisnextdoor.gov","https://www.crisisnextdoor.gov","Executive Office of the President","dotgov","No"
"crt2014-2024review.gov","crt2014-2024review.gov","https://crt2014-2024review.gov","Department of Energy","dotgov","No"
"csb.gov","csb.gov","https://www.csb.gov","Chemical Safety Board","dotgov","No"
"csce.gov","csce.gov","https://www.csce.gov","The Legislative Branch","dotgov","No"
"csosa.gov","csosa.gov","https://www.csosa.gov","Court Services and Offender Supervision","dotgov","No"
"cttso.gov","cttso.gov","https://cttso.gov","Department of Defense","dotgov","No"
"cuidadodesalud.gov","cuidadodesalud.gov","https://www.cuidadodesalud.gov","Department of Health and Human Services","dotgov","No"
"cupcao.gov","cupcao.gov","https://cupcao.gov","Department of the Interior","dotgov","Yes"
"cwc.gov","cwc.gov","http://cwc.gov","Department of State","dotgov","No"
"cyber.gov","cyber.gov","https://cyber.gov","Executive Office of the President","dotgov","No"
"cybercareers.gov","cybercareers.gov","https://www.cybercareers.gov","Office of Personnel Management","dotgov","No"
"cybersecurity.gov","cybersecurity.gov","https://cybersecurity.gov","Executive Office of the President","dotgov","No"
"data.gov","data.gov","https://www.data.gov","General Services Administration","dotgov","Yes"
"dea.gov","dea.gov","https://www.dea.gov","Department of Justice","dotgov","Yes"
"deaecom.gov","deaecom.gov","https://www.deaecom.gov","Department of Justice","dotgov","No"
"defense.gov","defense.gov","https://www.defense.gov","Department of Defense","dotgov","Yes"
"democraticleader.gov","democraticleader.gov","https://www.democraticleader.gov","The Legislative Branch","dotgov","No"
