"Domain","Base Domain","URL","Agency","Sources","Participates in DAP?"
"democraticwhip.gov","democraticwhip.gov","https://www.democraticwhip.gov","The Legislative Branch","dotgov","No"
"dems.gov","dems.gov","https://www.dems.gov","The Legislative Branch","dotgov","No"
"denali.gov","denali.gov","http://denali.gov","Denali Commission","dotgov","No"
"df.gov","df.gov","http://df.gov","Central Intelligence Agency","dotgov","No"
"dfafacts.gov","dfafacts.gov","https://dfafacts.gov","U.S. Agency for International Development","dotgov","No"
"dhs.gov","dhs.gov","https://www.dhs.gov","Department of Homeland Security","dotgov","Yes"
"dietaryguidelines.gov","dietaryguidelines.gov","https://www.dietaryguidelines.gov","U.S. Department of Agriculture","dotgov","No"
"digital.gov","digital.gov","https://digital.gov","General Services Administration","dotgov","No"
"digitaldashboard.gov","digitaldashboard.gov","https://digitaldashboard.gov","General Services Administration","dotgov","Yes"
"digitalgov.gov","digitalgov.gov","https://digitalgov.gov","General Services Administration","dotgov","Yes"
"digitalliteracy.gov","digitalliteracy.gov","https://digitalliteracy.gov","Department of Commerce","dotgov","No"
"directoasucuenta.gov","directoasucuenta.gov","https://directoasucuenta.gov","Department of the Treasury","dotgov","No"
"disasterassistance.gov","disasterassistance.gov","https://www.disasterassistance.gov","Department of Homeland Security","dotgov","Yes"
"dnfsb.gov","dnfsb.gov","https://www.dnfsb.gov","Defense Nuclear Facilities Safety Board","dotgov","Yes"
"dni.gov","dni.gov","https://www.dni.gov","Director of National Intelligence","dotgov","Yes"
"dnsops.gov","dnsops.gov","https://dnsops.gov","Department of Commerce","dotgov","No"
"docline.gov","docline.gov","https://docline.gov","Department of Health and Human Services","dotgov","Yes"
"doi.gov","doi.gov","https://www.doi.gov","Department of the Interior","dotgov","Yes"
"doioig.gov","doioig.gov","https://www.doioig.gov","Department of the Interior","dotgov","No"
"dol.gov","dol.gov","https://www.dol.gov","Department of Labor","dotgov","Yes"
"doleta.gov","doleta.gov","https://doleta.gov","Department of Labor","dotgov","Yes"
"donaciondeorganos.gov","donaciondeorganos.gov","https://donaciondeorganos.gov","Department of Health and Human Services","dotgov","Yes"
"donotcall.gov","donotcall.gov","https://donotcall.gov","Federal Trade Commission","dotgov","Yes"
"dotgov.gov","dotgov.gov","https://dotgov.gov","General Services Administration","dotgov","Yes"
"dra.gov","dra.gov","http://dra.gov","Delta Regional Authority","dotgov","No"
"drought.gov","drought.gov","https://www.drought.gov","Department of Commerce","dotgov","Yes"
"drugabuse.gov","drugabuse.gov","https://www.drugabuse.gov","Department of Health and Human Services","dotgov","Yes"
"dsac.gov","dsac.gov","https://www.dsac.gov","Department of Justice","dotgov","No"
"e-enterprise.gov","e-enterprise.gov","http://e-enterprise.gov","Environmental Protection Agency","dotgov","Yes"
"e-verify.gov","e-verify.gov","https://www.e-verify.gov","Department of Homeland Security","dotgov","Yes"
"eac.gov","eac.gov","https://www.eac.gov","Election Assistance Commission","dotgov","Yes"
"earmarks.gov","earmarks.gov","https://earmarks.gov","Executive Office of the President","dotgov","No"
"earthsystemprediction.gov","earthsystemprediction.gov","https://earthsystemprediction.gov","Department of Commerce","dotgov","Yes"
"economicinclusion.gov","economicinclusion.gov","https://economicinclusion.gov","Federal Deposit Insurance Corporation","dotgov","No"
"econsumer.gov","econsumer.gov","https://econsumer.gov","Federal Trade Commission","dotgov","Yes"
"ecpic.gov","ecpic.gov","https://ecpic.gov","General Services Administration","dotgov","No"
"ed.gov","ed.gov","https://www.ed.gov","Department of Education","dotgov","Yes"
"eda.gov","eda.gov","https://eda.gov","Department of Commerce","dotgov","Yes"
"eeoc.gov","eeoc.gov","https://www.eeoc.gov","Equal Employment Opportunity Commission","dotgov","Yes"
"eftps.gov","eftps.gov","https://www.eftps.gov","Department of the Treasury","dotgov","No"
"eia.gov","eia.gov","https://www.eia.gov","Department of Energy","dotgov","No"
"eisenhowermemorial.gov","eisenhowermemorial.gov","http://eisenhowermemorial.gov","Dwight D. Eisenhower Memorial Commission","dotgov","Yes"
"employeeexpress.gov","employeeexpress.gov","https://www.employeeexpress.gov","Office of Personnel Management","dotgov","No"
"employer.gov","employer.gov","https://employer.gov","Department of Labor","dotgov","Yes"
"empowhr.gov","empowhr.gov","https://empowhr.gov","U.S. Department of Agriculture","dotgov","Yes"
"ems.gov","ems.gov","https://www.ems.gov","Department of Transportation","dotgov","No"
"endingthedocumentgame.gov","endingthedocumentgame.gov","https://endingthedocumentgame.gov","Department of Health and Human Services","dotgov","No"
"energy.gov","energy.gov","https://www.energy.gov","Department of Energy","dotgov","Yes"
"energycodes.gov","energycodes.gov","https://www.energycodes.gov","Department of Energy","dotgov","No"
"energystar.gov","energystar.gov","https://www.energystar.gov","Environmental Protection Agency","dotgov","Yes"
"epa.gov","epa.gov","https://www.epa.gov","Environmental Protection Agency","dotgov","Yes"
"epic.gov","epic.gov","https://www.epic.gov","Department of Justice","dotgov","No"
"esa.gov","esa.gov","http://esa.gov","Department of Commerce","dotgov","Yes"
"esc.gov","esc.gov","https://esc.gov","Department of Transportation","dotgov","No"
"esrs.gov","esrs.gov","https://esrs.gov","General Services Administration","dotgov","Yes"
"eta-find.gov","eta-find.gov","https://eta-find.gov","Department of the Treasury","dotgov","No"
"ethicsburg.gov","ethicsburg.gov","https://www.ethicsburg.gov","Department of the Treasury","dotgov","No"
"evergladesrestoration.gov","evergladesrestoration.gov","https://evergladesrestoration.gov","Department of the Interior","dotgov","No"
"everykidinapark.gov","everykidinapark.gov","https://everykidinapark.gov","General Services Administration","dotgov","Yes"
"evus.gov","evus.gov","https://www.evus.gov","Department of Homeland Security","dotgov","Yes"
"execsec.gov","execsec.gov","https://www.execsec.gov","U.S. Department of Agriculture","dotgov","No"
"export.gov","export.gov","https://www.export.gov","Department of Commerce","dotgov","Yes"
"eyenote.gov","eyenote.gov","https://eyenote.gov","Department of the Treasury","dotgov","No"
"faa.gov","faa.gov","https://www.faa.gov","Department of Transportation","dotgov","Yes"
"faasafety.gov","faasafety.gov","https://www.faasafety.gov","Department of Transportation","dotgov","No"
"facadatabase.gov","facadatabase.gov","https://facadatabase.gov","General Services Administration","dotgov","Yes"
"fafsa.gov","fafsa.gov","https://fafsa.gov","Department of Education","dotgov","No"
"fai.gov","fai.gov","https://www.fai.gov","General Services Administration","dotgov","Yes"
"fan.gov","fan.gov","https://www.fan.gov","Department of State","dotgov","No"
"fapiis.gov","fapiis.gov","https://www.fapiis.gov","General Services Administration","dotgov","Yes"
"farmers.gov","farmers.gov","https://www.farmers.gov","U.S. Department of Agriculture","dotgov","Yes"
"fasab.gov","fasab.gov","http://fasab.gov","The Legislative Branch","dotgov","No"
"fatherhood.gov","fatherhood.gov","https://www.fatherhood.gov","Department of Health and Human Services","dotgov","No"
"fbi.gov","fbi.gov","https://www.fbi.gov","Department of Justice","dotgov","No"
"fbiic.gov","fbiic.gov","https://www.fbiic.gov","Federal Reserve Board of Governors","dotgov","No"
"fbijobs.gov","fbijobs.gov","https://fbijobs.gov","Department of Justice","dotgov","No"
"fbo.gov","fbo.gov","https://www.fbo.gov","General Services Administration","dotgov","Yes"
"fca.gov","fca.gov","https://fca.gov","Farm Credit Administration","dotgov","No"
"fcc.gov","fcc.gov","https://www.fcc.gov","Federal Communications Commission","dotgov","No"
"fcg.gov","fcg.gov","https://www.fcg.gov","Department of the Interior","dotgov","No"
"fcsic.gov","fcsic.gov","https://www.fcsic.gov","Farm Credit Administration","dotgov","No"
"fda.gov","fda.gov","https://www.fda.gov","Department of Health and Human Services","dotgov","Yes"
"fdic.gov","fdic.gov","https://www.fdic.gov","Federal Deposit Insurance Corporation","dotgov","Yes"
"fdicconnect.gov","fdicconnect.gov","https://www.fdicconnect.gov","Federal Deposit Insurance Corporation","dotgov","No"
"fdicig.gov","fdicig.gov","https://fdicig.gov","Federal Deposit Insurance Corporation","dotgov","Yes"
"fdicoig.gov","fdicoig.gov","https://fdicoig.gov","Federal Deposit Insurance Corporation","dotgov","Yes"
"fdicseguro.gov","fdicseguro.gov","https://www.fdicseguro.gov","Federal Deposit Insurance Corporation","dotgov","No"
"fea.gov","fea.gov","http://www.fea.gov","Denali Commission","dotgov","Yes"
"feb.gov","feb.gov","https://feb.gov","Office of Personnel Management","dotgov","Yes"
"fec.gov","fec.gov","https://www.fec.gov","Federal Election Commission","dotgov","Yes"
"fedcenter.gov","fedcenter.gov","https://www.fedcenter.gov","Environmental Protection Agency","dotgov","Yes"
"federalinvestments.gov","federalinvestments.gov","https://federalinvestments.gov","Department of the Treasury","dotgov","Yes"
"federalreserve.gov","federalreserve.gov","https://www.federalreserve.gov","Federal Reserve Board of Governors","dotgov","No"
"federalreserveconsumerhelp.gov","federalreserveconsumerhelp.gov","https://federalreserveconsumerhelp.gov","Federal Reserve Board of Governors","dotgov","No"
"fedidcard.gov","fedidcard.gov","https://www.fedidcard.gov","General Services Administration","dotgov","Yes"
"fedinvest.gov","fedinvest.gov","https://fedinvest.gov","Department of the Treasury","dotgov","Yes"
"fedpartnership.gov","fedpartnership.gov","https://fedpartnership.gov","Federal Reserve Board of Governors","dotgov","No"
"fedramp.gov","fedramp.gov","https://www.fedramp.gov","General Services Administration","dotgov","Yes"
"fedshirevets.gov","fedshirevets.gov","https://fedshirevets.gov","Office of Personnel Management","dotgov","Yes"
"feedthefuture.gov","feedthefuture.gov","https://feedthefuture.gov","U.S. Agency for International Development","dotgov","Yes"
"fema.gov","fema.gov","https://www.fema.gov","Department of Homeland Security","dotgov","Yes"
"ferc.gov","ferc.gov","https://ferc.gov","Federal Energy Regulatory Commission","dotgov","Yes"
"fercalt.gov","fercalt.gov","https://fercalt.gov","Federal Energy Regulatory Commission","dotgov","No"
"ffb.gov","ffb.gov","https://www.ffb.gov","Department of the Treasury","dotgov","Yes"
"ffiec.gov","ffiec.gov","https://www.ffiec.gov","Federal Reserve Board of Governors","dotgov","No"
"fgdc.gov","fgdc.gov","https://fgdc.gov","Department of the Interior","dotgov","No"
"fhfa.gov","fhfa.gov","https://www.fhfa.gov","Federal Housing Finance Agency","dotgov","Yes"
"fhfaoig.gov","fhfaoig.gov","https://www.fhfaoig.gov","Federal Housing Finance Agency, Office of Inspector General","dotgov","Yes"
"financialresearch.gov","financialresearch.gov","https://www.financialresearch.gov","Department of the Treasury","dotgov","Yes"
"fincen.gov","fincen.gov","https://www.fincen.gov","Department of the Treasury","dotgov","No"
"firecode.gov","firecode.gov","https://www.firecode.gov","Department of the Interior","dotgov","No"
"fireleadership.gov","fireleadership.gov","https://fireleadership.gov","Department of the Interior","dotgov","No"
"firescience.gov","firescience.gov","https://www.firescience.gov","Department of the Interior","dotgov","No"
"firstnet.gov","firstnet.gov","https://firstnet.gov","Department of Commerce","dotgov","No"
"firstrespondertraining.gov","firstrespondertraining.gov","https://www.firstrespondertraining.gov","Department of Homeland Security","dotgov","Yes"
"fishwatch.gov","fishwatch.gov","https://www.fishwatch.gov","Department of Commerce","dotgov","Yes"
"fjc.gov","fjc.gov","https://www.fjc.gov","U.S. Courts","dotgov","No"
"fleta.gov","fleta.gov","https://www.fleta.gov","Department of Homeland Security","dotgov","Yes"
"fletc.gov","fletc.gov","https://www.fletc.gov","Department of Homeland Security","dotgov","Yes"
"flightschoolcandidates.gov","flightschoolcandidates.gov","https://flightschoolcandidates.gov","Department of Homeland Security","dotgov","No"
"floodsmart.gov","floodsmart.gov","https://www.floodsmart.gov","Department of Homeland Security","dotgov","Yes"
"flra.gov","flra.gov","https://www.flra.gov","Federal Labor Relations Authority","dotgov","Yes"
"fmc.gov","fmc.gov","https://www.fmc.gov","Federal Maritime Commission","dotgov","Yes"
"fmcs.gov","fmcs.gov","https://fmcs.gov","Federal Mediation and Conciliation Service","dotgov","No"
"fmi.gov","fmi.gov","https://fmi.gov","General Services Administration","dotgov","Yes"
"fmshrc.gov","fmshrc.gov","http://fmshrc.gov","Federal Mine Safety and Health Review Commission","dotgov","No"
"fnal.gov","fnal.gov","http://fnal.gov","Department of Energy","dotgov","No"
"foia.gov","foia.gov","https://www.foia.gov","Department of Justice","dotgov","Yes"
"foodsafety.gov","foodsafety.gov","https://www.foodsafety.gov","Department of Health and Human Services","dotgov","Yes"
"fordlibrarymuseum.gov","fordlibrarymuseum.gov","https://www.fordlibrarymuseum.gov","National Archives and Records Administration","dotgov","Yes"
"foreignassistance.gov","foreignassistance.gov","https://foreignassistance.gov","Department of State","dotgov","Yes"
"forestsandrangelands.gov","forestsandrangelands.gov","https://forestsandrangelands.gov","U.S. Department of Agriculture","dotgov","Yes"
"forfeiture.gov","forfeiture.gov","https://www.forfeiture.gov","Department of Justice","dotgov","Yes"
"fpc.gov","fpc.gov","https://www.fpc.gov","General Services Administration","dotgov","Yes"
"fpds.gov","fpds.gov","https://fpds.gov","General Services Administration","dotgov","Yes"
"frpg.gov","frpg.gov","https://www.frpg.gov","General Services Administration","dotgov","Yes"
"frtib.gov","frtib.gov","https://www.frtib.gov","Federal Retirement Thrift Investment Board","dotgov","No"
"frtr.gov","frtr.gov","https://frtr.gov","Environmental Protection Agency","dotgov","Yes"
"fs.fed.us","fs.fed.us","https://www.fs.fed.us","U.S. Department of Agriculture","dotgov","No"
"fsd.gov","fsd.gov","https://fsd.gov","General Services Administration","dotgov","Yes"
"fsgb.gov","fsgb.gov","https://www.fsgb.gov","Department of State","dotgov","No"
"fsrs.gov","fsrs.gov","https://fsrs.gov","General Services Administration","dotgov","Yes"
"ftc.gov","ftc.gov","https://www.ftc.gov","Federal Trade Commission","dotgov","Yes"
"ftccomplaintassistant.gov","ftccomplaintassistant.gov","https://ftccomplaintassistant.gov","Federal Trade Commission","dotgov","Yes"
"ftcefile.gov","ftcefile.gov","https://ftcefile.gov","Federal Trade Commission","dotgov","No"
"fueleconomy.gov","fueleconomy.gov","https://fueleconomy.gov","Department of Energy","dotgov","No"
"fvap.gov","fvap.gov","https://www.fvap.gov","Department of Defense","dotgov","Yes"
"fws.gov","fws.gov","https://www.fws.gov","Department of the Interior","dotgov","Yes"
"g5.gov","g5.gov","https://g5.gov","Department of Education","dotgov","Yes"
